1A5
421
8
Time,Channel A,Channel B
(ms),(V),(V)
0.06295197,2.55521000,2.56689800
0.06295397,2.55521000,2.56705200
0.06295597,2.55551800,2.56689800
0.06295797,2.55551800,2.56705200
0.06295997,2.55551800,2.56736000
0.06296197,2.55567200,2.56736000
0.06296397,2.55567200,2.56736000
0.06296597,2.55551800,2.56736000
0.06296797,2.55551800,2.56751300
0.06296997,2.55505700,2.56751300
0.06297197,2.55505700,2.56751300
0.06297397,2.55505700,2.56766700
0.06297597,2.55505700,2.56751300
0.06297797,2.55505700,2.56736000
0.06297997,2.55521000,2.56705200
0.06298197,2.55521000,2.56736000
0.06298397,2.55551800,2.56705200
0.06298597,2.55551800,2.56736000
0.06298797,2.55551800,2.56705200
0.06298997,2.55551800,2.56705200
0.06299197,2.55551800,2.56705200
0.06299397,2.55551800,2.56705200
0.06299597,2.55551800,2.56705200
0.06299797,2.55521000,2.56689800
0.06299997,2.55521000,2.56705200
0.06300197,2.55521000,2.56705200
0.06300397,2.55521000,2.56736000
0.06300597,2.55521000,2.56705200
0.06300797,2.55521000,2.56689800
0.06300997,2.55521000,2.56689800
0.06301197,2.55505700,2.56705200
0.06301397,2.55521000,2.56705200
0.06301597,2.55521000,2.56736000
0.06301797,2.55521000,2.56736000
0.06301997,2.55521000,2.56736000
0.06302197,2.55521000,2.56751300
0.06302397,2.55551800,2.56751300
0.06302597,2.55567200,2.56751300
0.06302797,2.55551800,2.56751300
0.06302997,2.55567200,2.56736000
0.06303197,2.55567200,2.56736000
0.06303397,2.55567200,2.56705200
0.06303597,2.55567200,2.56736000
0.06303797,2.55567200,2.56705200
0.06303997,2.55567200,2.56705200
0.06304197,2.55567200,2.56736000
0.06304397,2.55567200,2.56736000
0.06304597,2.55567200,2.56705200
0.06304797,2.55567200,2.56736000
0.06304997,2.55567200,2.56736000
0.06305197,2.55567200,2.56736000
0.06305397,2.55567200,2.56736000
0.06305597,2.55567200,2.56736000
0.06305797,2.55567200,2.56736000
0.06305997,2.55567200,2.56736000
0.06306197,2.55567200,2.56736000
0.06306397,2.55567200,2.56736000
0.06306597,2.55567200,2.56736000
0.06306797,2.55567200,2.56705200
0.06306997,2.55567200,2.56705200
0.06307197,2.55567200,2.56689800
0.06307397,2.55567200,2.56689800
0.06307597,2.55567200,2.56705200
0.06307797,2.55567200,2.56689800
0.06307997,2.55567200,2.56689800
0.06308197,2.55567200,2.56674500
0.06308397,2.55567200,2.56643700
0.06308597,2.55567200,2.56643700
0.06308797,2.55567200,2.56643700
0.06308997,2.55567200,2.56628300
0.06309197,2.55567200,2.56628300
0.06309397,2.55567200,2.56612900
0.06309597,2.55567200,2.56612900
0.06309797,2.55567200,2.56612900
0.06309997,2.55567200,2.56628300
0.06310197,2.55567200,2.56628300
0.06310397,2.55567200,2.56628300
0.06310597,2.55567200,2.56628300
0.06310797,2.55567200,2.56628300
0.06310997,2.55567200,2.56628300
0.06311197,2.55567200,2.56612900
0.06311397,2.55567200,2.56612900
0.06311597,2.55567200,2.56612900
0.06311797,2.55582500,2.56612900
0.06311997,2.55582500,2.56612900
0.06312197,2.55582500,2.56612900
0.06312397,2.55613300,2.56612900
0.06312597,2.55613300,2.56612900
0.06312797,2.55613300,2.56612900
0.06312997,2.55613300,2.56612900
0.06313197,2.55628700,2.56628300
0.06313397,2.55628700,2.56612900
0.06313597,2.55628700,2.56628300
0.06313797,2.55628700,2.56628300
0.06313997,2.55628700,2.56628300
0.06314197,2.55628700,2.56612900
0.06314397,2.55628700,2.56628300
0.06314597,2.55613300,2.56628300
0.06314797,2.55613300,2.56612900
0.06314997,2.55613300,2.56612900
0.06315197,2.55613300,2.56612900
0.06315397,2.55613300,2.56612900
0.06315597,2.55582500,2.56628300
0.06315797,2.55582500,2.56628300
0.06315997,2.55582500,2.56612900
0.06316197,2.55613300,2.56628300
0.06316397,2.55613300,2.56628300
0.06316597,2.55613300,2.56612900
0.06316797,2.55613300,2.56612900
0.06316997,2.55613300,2.56612900
0.06317197,2.55613300,2.56628300
0.06317397,2.55613300,2.56643700
0.06317597,2.55613300,2.56628300
0.06317797,2.55628700,2.56612900
0.06317997,2.55628700,2.56612900
0.06318197,2.55628700,2.56628300
0.06318397,2.55628700,2.56628300
0.06318597,2.55628700,2.56643700
0.06318797,2.55613300,2.56674500
0.06318997,2.55613300,2.56643700
0.06319197,2.55628700,2.56643700
0.06319397,2.55628700,2.56643700
0.06319597,2.55628700,2.56643700
0.06319797,2.55628700,2.56643700
0.06319997,2.55628700,2.56628300
0.06320197,2.55628700,2.56628300
0.06320397,2.55628700,2.56628300
0.06320597,2.55613300,2.56612900
0.06320797,2.55613300,2.56612900
0.06320997,2.55613300,2.56582200
0.06321197,2.55613300,2.56582200
0.06321397,2.55613300,2.56612900
0.06321597,2.55613300,2.56628300
0.06321797,2.55613300,2.56612900
0.06321997,2.55613300,2.56612900
0.06322197,2.55613300,2.56612900
0.06322397,2.55613300,2.56628300
0.06322597,2.55613300,2.56643700
0.06322797,2.55628700,2.56628300
0.06322997,2.55628700,2.56612900
0.06323197,2.55628700,2.56612900
0.06323397,2.55628700,2.56612900
0.06323597,2.55628700,2.56582200
0.06323797,2.55628700,2.56582200
0.06323997,2.55628700,2.56566800
0.06324197,2.55628700,2.56566800
0.06324397,2.55628700,2.56566800
0.06324597,2.55628700,2.56566800
0.06324797,2.55628700,2.56566800
0.06324997,2.55628700,2.56566800
0.06325197,2.55628700,2.56566800
0.06325397,2.55628700,2.56566800
0.06325597,2.55628700,2.56566800
0.06325797,2.55628700,2.56551400
0.06325997,2.55628700,2.56566800
0.06326197,2.55628700,2.56582200
0.06326397,2.55628700,2.56582200
0.06326597,2.55628700,2.56566800
0.06326797,2.55644100,2.56566800
0.06326997,2.55644100,2.56566800
0.06327197,2.55644100,2.56551400
0.06327397,2.55644100,2.56566800
0.06327597,2.55644100,2.56582200
0.06327797,2.55644100,2.56566800
0.06327997,2.55644100,2.56566800
0.06328197,2.55644100,2.56566800
0.06328397,2.55644100,2.56582200
0.06328597,2.55644100,2.56582200
0.06328797,2.55644100,2.56566800
0.06328997,2.55644100,2.56551400
0.06329197,2.55644100,2.56551400
0.06329397,2.55644100,2.56520700
0.06329597,2.55644100,2.56551400
0.06329797,2.55644100,2.56520700
0.06329997,2.55644100,2.56505300
0.06330197,2.55644100,2.56520700
0.06330397,2.55628700,2.56505300
0.06330597,2.55628700,2.56520700
0.06330797,2.55628700,2.56520700
0.06330997,2.55613300,2.56520700
0.06331197,2.55613300,2.56551400
0.06331397,2.55613300,2.56566800
0.06331597,2.55613300,2.56582200
0.06331797,2.55613300,2.56582200
0.06331997,2.55613300,2.56582200
0.06332197,2.55582500,2.56612900
0.06332397,2.55582500,2.56582200
0.06332597,2.55582500,2.56582200
0.06332797,2.55613300,2.56566800
0.06332997,2.55582500,2.56582200
0.06333197,2.55582500,2.56566800
0.06333397,2.55582500,2.56582200
0.06333597,2.55582500,2.56566800
0.06333797,2.55582500,2.56551400
0.06333997,2.55582500,2.56566800
0.06334197,2.55582500,2.56551400
0.06334397,2.55582500,2.56566800
0.06334597,2.55582500,2.56551400
0.06334797,2.55582500,2.56551400
0.06334997,2.55582500,2.56551400
0.06335197,2.55582500,2.56551400
0.06335397,2.55582500,2.56566800
0.06335597,2.55613300,2.56551400
0.06335797,2.55613300,2.56566800
0.06335997,2.55613300,2.56582200
0.06336197,2.55613300,2.56612900
0.06336397,2.55613300,2.56612900
0.06336597,2.55613300,2.56612900
0.06336797,2.55613300,2.56628300
0.06336997,2.55613300,2.56628300
0.06337197,2.55613300,2.56628300
0.06337397,2.55613300,2.56643700
0.06337597,2.55613300,2.56643700
0.06337797,2.55613300,2.56674500
0.06337997,2.55613300,2.56643700
0.06338197,2.55613300,2.56628300
0.06338397,2.55613300,2.56628300
0.06338597,2.55613300,2.56612900
0.06338797,2.55613300,2.56628300
0.06338997,2.55613300,2.56612900
0.06339197,2.55628700,2.56628300
0.06339397,2.55628700,2.56628300
0.06339597,2.55628700,2.56612900
0.06339797,2.55628700,2.56628300
0.06339997,2.55628700,2.56628300
0.06340197,2.55628700,2.56612900
0.06340397,2.55628700,2.56612900
0.06340597,2.55628700,2.56612900
0.06340797,2.55628700,2.56612900
0.06340997,2.55628700,2.56612900
0.06341197,2.55628700,2.56612900
0.06341397,2.55644100,2.56628300
0.06341597,2.55644100,2.56628300
0.06341797,2.55628700,2.56628300
0.06341997,2.55628700,2.56612900
0.06342197,2.55628700,2.56582200
0.06342397,2.55644100,2.56612900
0.06342597,2.55644100,2.56582200
0.06342797,2.55644100,2.56582200
0.06342997,2.55644100,2.56566800
0.06343197,2.55644100,2.56566800
0.06343397,2.55644100,2.56566800
0.06343597,2.55644100,2.56566800
0.06343797,2.55644100,2.56566800
0.06343997,2.55628700,2.56566800
0.06344197,2.55628700,2.56566800
0.06344397,2.55628700,2.56551400
0.06344597,2.55628700,2.56520700
0.06344797,2.55628700,2.56520700
0.06344997,2.55628700,2.56520700
0.06345197,2.55613300,2.56520700
0.06345397,2.55613300,2.56520700
0.06345597,2.55582500,2.56520700
0.06345797,2.55582500,2.56520700
0.06345997,2.55582500,2.56551400
0.06346197,2.55582500,2.56551400
0.06346397,2.55613300,2.56551400
0.06346597,2.55613300,2.56520700
0.06346797,2.55613300,2.56551400
0.06346997,2.55613300,2.56520700
0.06347197,2.55613300,2.56505300
0.06347397,2.55582500,2.56505300
0.06347597,2.55582500,2.56489900
0.06347797,2.55613300,2.56459100
0.06347997,2.55613300,2.56443800
0.06348197,2.55628700,2.56443800
0.06348397,2.55628700,2.56459100
0.06348597,2.55628700,2.56443800
0.06348797,2.55628700,2.56459100
0.06348997,2.55628700,2.56459100
0.06349197,2.55628700,2.56489900
0.06349397,2.55613300,2.56459100
0.06349597,2.55613300,2.56459100
0.06349797,2.55613300,2.56459100
0.06349997,2.55613300,2.56489900
0.06350197,2.55613300,2.56489900
0.06350397,2.55613300,2.56459100
0.06350597,2.55613300,2.56459100
0.06350797,2.55613300,2.56459100
0.06350997,2.55613300,2.56489900
0.06351197,2.55613300,2.56459100
0.06351397,2.55613300,2.56459100
0.06351597,2.55582500,2.56459100
0.06351797,2.55582500,2.56459100
0.06351997,2.55582500,2.56459100
0.06352197,2.55582500,2.56459100
0.06352397,2.55613300,2.56459100
0.06352597,2.55582500,2.56489900
0.06352797,2.55582500,2.56459100
0.06352997,2.55582500,2.56459100
0.06353197,2.55567200,2.56443800
0.06353397,2.55551800,2.56443800
0.06353597,2.55551800,2.56443800
0.06353797,2.55551800,2.56459100
0.06353997,2.55551800,2.56443800
0.06354197,2.55551800,2.56443800
0.06354397,2.55551800,2.56443800
0.06354597,2.55551800,2.56459100
0.06354797,2.55551800,2.56443800
0.06354997,2.55551800,2.56459100
0.06355197,2.55551800,2.56459100
0.06355397,2.55551800,2.56443800
0.06355597,2.55551800,2.56443800
0.06355797,2.55551800,2.56459100
0.06355997,2.55551800,2.56443800
0.06356197,2.55551800,2.56413000
0.06356397,2.55551800,2.56443800
0.06356597,2.55551800,2.56443800
0.06356797,2.55551800,2.56459100
0.06356997,2.55551800,2.56459100
0.06357197,2.55551800,2.56459100
0.06357397,2.55551800,2.56459100
0.06357597,2.55551800,2.56459100
0.06357797,2.55551800,2.56489900
0.06357997,2.55551800,2.56489900
0.06358197,2.55551800,2.56489900
0.06358397,2.55551800,2.56489900
0.06358597,2.55551800,2.56489900
0.06358797,2.55551800,2.56459100
0.06358997,2.55551800,2.56459100
0.06359197,2.55551800,2.56459100
0.06359397,2.55551800,2.56459100
0.06359597,2.55551800,2.56489900
0.06359797,2.55551800,2.56489900
0.06359997,2.55551800,2.56489900
0.06360197,2.55551800,2.56505300
0.06360397,2.55521000,2.56505300
0.06360597,2.55521000,2.56505300
0.06360797,2.55521000,2.56489900
0.06360997,2.55521000,2.56489900
0.06361197,2.55521000,2.56459100
0.06361397,2.55521000,2.56489900
0.06361597,2.55521000,2.56489900
0.06361797,2.55521000,2.56459100
0.06361997,2.55521000,2.56489900
0.06362197,2.55521000,2.56459100
0.06362397,2.55521000,2.56489900
0.06362597,2.55521000,2.56489900
0.06362797,2.55521000,2.56505300
0.06362997,2.55521000,2.56505300
0.06363197,2.55521000,2.56520700
0.06363397,2.55521000,2.56520700
0.06363597,2.55521000,2.56520700
0.06363797,2.55505700,2.56520700
0.06363997,2.55505700,2.56520700
0.06364197,2.55505700,2.56551400
0.06364397,2.55505700,2.56520700
0.06364597,2.55521000,2.56551400
0.06364797,2.55521000,2.56520700
0.06364997,2.55521000,2.56551400
0.06365197,2.55521000,2.56566800
0.06365397,2.55521000,2.56566800
0.06365597,2.55521000,2.56551400
0.06365797,2.55551800,2.56551400
0.06365997,2.55551800,2.56551400
0.06366197,2.55551800,2.56520700
0.06366397,2.55551800,2.56505300
0.06366597,2.55551800,2.56505300
0.06366797,2.55567200,2.56505300
0.06366997,2.55567200,2.56505300
0.06367197,2.55567200,2.56505300
0.06367397,2.55567200,2.56505300
0.06367597,2.55567200,2.56505300
0.06367797,2.55551800,2.56520700
0.06367997,2.55551800,2.56520700
0.06368197,2.55551800,2.56520700
0.06368397,2.55551800,2.56505300
0.06368597,2.55551800,2.56489900
0.06368797,2.55551800,2.56505300
0.06368997,2.55551800,2.56520700
0.06369197,2.55551800,2.56505300
0.06369397,2.55551800,2.56489900
0.06369597,2.55521000,2.56505300
0.06369797,2.55521000,2.56505300
0.06369997,2.55551800,2.56489900
0.06370197,2.55551800,2.56505300
0.06370397,2.55521000,2.56520700
0.06370597,2.55521000,2.56551400
0.06370797,2.55505700,2.56520700
0.06370997,2.55490300,2.56505300
0.06371197,2.55459500,2.56520700
0.06371397,2.55459500,2.56551400
0.06371597,2.55444100,2.56566800
0.06371797,2.55444100,2.56566800
0.06371997,2.55444100,2.56582200
0.06372197,2.55444100,2.56582200
0.06372397,2.55444100,2.56582200
0.06372597,2.55459500,2.56566800
0.06372797,2.55490300,2.56551400
0.06372997,2.55505700,2.56505300
0.06373197,2.55551800,2.56459100
